Client_No,Branch,Gender,D.O.B,Segment,Nationality,JoinDate,Last_transn
1,AGENCE DE KENYA ,F,1/1/1968,MICRO ENTERPRISES             ,RW,9/26/2016,7/12/2019
2,AGENCE DE KENYA ,F,2/5/2000,SMEs-Small& medium enterp-CORP,RW,4/17/2017,7/5/2019
3,AGENCE DE KENYA ,F,12/28/1992,RETAIL                        ,RW,1/16/2017,12/28/2017
4,AGENCE DE KENYA ,C,1/1/1900,SMEs-Small& medium enterp-CORP,RW,6/17/2019,6/20/2019
5,AGENCE DE KENYA ,F,5/21/1971,SMEs-Small& medium enterp-CORP,RW,8/22/2014,7/15/2019
6,AGENCE DE KENYA ,M,1/1/1991,MICRO ENTERPRISES             ,RW,7/29/2016,12/31/2018
7,AGENCE DE KENYA ,F,12/31/2013,MICRO ENTERPRISES             ,RW,3/26/2015,7/8/2016
8,AGENCE DE KENYA ,M,1/1/1990,SMEs-Small& medium enterp-CORP,RW,5/24/2018,8/9/2018
9,AGENCE DE KENYA ,F,5/15/1989,MICRO ENTERPRISES             ,RW,6/27/2018,1/15/2019
10,AGENCE DE KENYA ,M,1/1/1992,MICRO ENTERPRISES             ,RW,1/16/2019,3/19/2019
11,AGENCE DE KENYA ,M,5/14/1985,MICRO ENTERPRISES             ,RW,2/8/2016,8/26/2016
12,AGENCE DE KENYA ,C,1/1/1900,SMEs-Small& medium enterp-CORP,RW,7/10/2013,10/10/2016
13,AGENCE DE KENYA ,C,1/1/1900,SMEs-Small& medium enterp-CORP,RW,8/26/2014,9/4/2017
14,AGENCE DE KENYA ,M,1/1/1982,SMEs-Small& medium enterp-CORP,RW,9/23/2015,3/30/2017
15,AGENCE DE KENYA ,M,2/5/1978,RETAIL                        ,RW,6/14/2018,1/1/1900
16,AGENCE DE KENYA ,M,7/25/1990,RETAIL                        ,RW,6/12/2014,9/3/2014
17,AGENCE DE KENYA ,F,1/1/1992,RETAIL                        ,RW,5/30/2018,7/3/2018
18,AGENCE DE KENYA ,M,2/11/1983,RETAIL                        ,RW,7/12/2018,7/15/2019
19,AGENCE DE KENYA ,M,5/3/1974,RETAIL                        ,RW,6/26/2017,1/1/1900
20,AGENCE DE KENYA ,F,1/1/1976,SMEs-Small& medium enterp-CORP,RW,1/31/2013,11/27/2015
21,AGENCE DE KENYA ,M,1/1/1994,RETAIL                        ,RW,7/3/2015,4/30/2019
22,AGENCE DE KENYA ,F,1/1/1987,SMEs-Small& medium enterp-CORP,RW,7/8/2013,11/27/2015
23,AGENCE DE KENYA ,M,5/3/1995,SMEs-Small& medium enterp-CORP,RW,2/1/2016,1/1/1900
24,AGENCE DE KENYA ,F,9/25/1965,SMEs-Small& medium enterp-CORP,RW,10/26/2015,5/24/2019
25,AGENCE DE KENYA ,M,1/1/1982,RETAIL                        ,RW,7/15/2014,12/17/2018
26,AGENCE DE KENYA ,F,9/15/1965,SMEs-Small& medium enterp-CORP,RW,11/13/2013,7/2/2019
27,AGENCE DE KENYA ,M,7/14/1996,RETAIL                        ,RW,3/19/2019,6/10/2019
28,AGENCE DE KENYA ,F,1/1/1992,RETAIL                        ,RW,9/27/2018,11/26/2018
29,AGENCE DE KENYA ,M,1/1/1994,RETAIL                        ,RW,4/26/2013,5/5/2016
30,AGENCE DE KENYA ,M,7/17/1988,RETAIL                        ,RW,2/11/2014,1/21/2016
31,AGENCE DE KENYA ,M,7/25/1976,SMEs-Small& medium enterp-CORP,RW,5/10/2013,7/2/2019
32,AGENCE DE KENYA ,M,3/15/1982,RETAIL                        ,RW,10/23/2012,10/10/2016
33,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,7/9/2013,1/5/2016
34,AGENCE DE KENYA ,M,9/12/1984,RETAIL                        ,RW,10/23/2012,1/18/2016
35,AGENCE DE KENYA ,F,9/30/1980,RETAIL                        ,RW,1/5/2016,2/21/2017
36,AGENCE DE KENYA ,M,1/1/1996,RETAIL                        ,RW,3/11/2019,7/9/2019
37,AGENCE DE KENYA ,M,1/1/1987,RETAIL                        ,RW,5/8/2019,7/15/2019
38,AGENCE DE KENYA ,M,1/1/1993,RETAIL                        ,RW,7/26/2018,12/3/2018
39,AGENCE DE KENYA ,M,1/1/1980,RETAIL                        ,RW,12/4/2012,11/27/2015
40,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,9/10/2012,4/4/2016
41,AGENCE DE KENYA ,M,1/1/1993,RETAIL                        ,RW,12/19/2018,7/9/2019
42,AGENCE DE KENYA ,M,1/1/1992,RETAIL                        ,RW,9/21/2018,5/15/2019
43,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,11/10/2016,7/12/2019
44,AGENCE DE KENYA ,F,3/28/1975,RETAIL                        ,RW,5/2/2013,7/3/2019
45,AGENCE DE KENYA ,M,12/31/1979,SMEs-Small& medium enterp-CORP,RW,2/7/2013,7/1/2019
46,AGENCE DE KENYA ,M,5/10/1986,RETAIL                        ,RW,10/26/2017,7/3/2018
47,AGENCE DE KENYA ,M,1/1/1982,RETAIL                        ,RW,11/14/2017,12/29/2017
48,AGENCE DE KENYA ,M,9/15/1977,RETAIL                        ,RW,12/19/2013,11/27/2015
49,AGENCE DE KENYA ,M,1/1/1979,RETAIL                        ,RW,10/3/2012,12/29/2015
50,AGENCE DE KENYA ,M,11/13/1974,RETAIL                        ,RW,6/28/2017,11/16/2017
51,AGENCE DE KENYA ,F,1/1/1947,RETAIL                        ,RW,3/4/2015,4/22/2019
52,AGENCE DE KENYA ,M,3/6/1965,SMEs-Small& medium enterp-CORP,RW,12/13/2012,7/11/2019
53,AGENCE DE KENYA ,F,1/1/1985,RETAIL                        ,RW,10/19/2018,7/3/2019
54,AGENCE DE KENYA ,M,1/1/1991,RETAIL                        ,RW,6/12/2014,7/2/2019
55,AGENCE DE KENYA ,M,9/10/1978,RETAIL                        ,RW,10/23/2012,10/10/2016
56,AGENCE DE KENYA ,M,10/25/1987,RETAIL                        ,RW,7/12/2017,10/23/2017
57,AGENCE DE KENYA ,M,5/7/1987,RETAIL                        ,RW,7/22/2015,7/12/2019
58,AGENCE DE KENYA ,M,10/23/1983,RETAIL                        ,RW,11/10/2017,8/22/2018
59,AGENCE DE KENYA ,M,1/1/1994,RETAIL                        ,RW,4/18/2019,5/22/2019
60,AGENCE DE KENYA ,M,1/21/1971,RETAIL                        ,RW,3/3/2014,4/2/2015
61,AGENCE DE KENYA ,F,10/30/2001,RETAIL                        ,RW,10/15/2018,4/9/2019
62,AGENCE DE KENYA ,M,8/30/1984,RETAIL                        ,ET,1/12/2016,2/6/2017
63,AGENCE DE KENYA ,M,12/24/1988,RETAIL                        ,RW,11/7/2012,4/14/2016
64,AGENCE DE KENYA ,M,1/7/1965,RETAIL                        ,KR,2/10/2016,2/10/2016
65,AGENCE DE KENYA ,M,3/10/1990,RETAIL                        ,RW,8/20/2015,6/12/2019
66,AGENCE DE KENYA ,M,1/1/1992,RETAIL                        ,RW,2/27/2019,7/10/2019
67,AGENCE DE KENYA ,M,6/11/1977,RETAIL                        ,RW,2/27/2019,7/11/2019
68,AGENCE DE KENYA ,M,1/1/1900,RETAIL                        ,RW,4/17/2014,6/30/2017
69,AGENCE DE KENYA ,M,1/1/1994,SMEs-Small& medium enterp-CORP,RW,1/31/2018,7/15/2019
70,AGENCE DE KENYA ,F,6/9/1977,RETAIL                        ,TZ,6/6/2019,6/19/2019
71,AGENCE DE KENYA ,F,1/1/1998,SMEs-Small& medium enterp-CORP,RW,10/31/2018,7/8/2019
72,AGENCE DE KENYA ,F,1/5/1992,RETAIL                        ,RW,7/23/2012,12/31/2018
73,AGENCE DE KENYA ,M,6/15/1996,RETAIL                        ,RW,11/5/2018,1/1/1900
74,AGENCE DE KENYA ,F,7/31/1959,SMEs-Small& medium enterp-CORP,DK,6/6/2018,7/11/2019
75,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,9/16/2016,7/15/2019
76,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,12/5/2017,7/15/2019
77,AGENCE DE KENYA ,M,1/1/1988,RETAIL                        ,RW,12/26/2017,6/28/2019
78,AGENCE DE KENYA ,M,7/8/1978,RETAIL                        ,ET,10/13/2015,12/28/2017
79,AGENCE DE KENYA ,F,7/1/1997,SMEs-Small& medium enterp-CORP,RW,5/30/2018,1/1/1900
80,AGENCE DE KENYA ,M,2/21/1973,SMEs-Small& medium enterp-CORP,US,2/24/2014,11/27/2015
81,AGENCE DE KENYA ,F,1/1/1985,RETAIL                        ,RW,11/8/2012,12/1/2015
82,AGENCE DE KENYA ,F,1/1/1986,RETAIL                        ,RW,2/1/2016,7/12/2019
83,AGENCE DE KENYA ,M,10/28/1995,RETAIL                        ,RW,10/29/2014,12/5/2016
84,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,1/9/2019,7/3/2019
85,AGENCE DE KENYA ,F,7/9/1988,RETAIL                        ,RW,7/24/2018,5/27/2019
